uni	Participant	uid
school4	226	615
school4	227	616
school4	230	617
school4	231	618
school4	235	619
school4	236	620
school4	238	621
school4	240	622
school4	241	623
school4	244	624
school4	247	625
school4	248	626
school4	249	627
school4	251	628
school4	252	629
school4	256	630
school4	260	631
school4	264	632
school4	265	633
school4	266	634
school4	268	635
school4	269	636
school4	273	637
school4	275	638
school4	278	639
school4	279	640
school4	280	641
school4	281	642
school4	285	643
school4	286	644
school4	288	645
school4	289	646
school4	290	647
school4	291	648
school4	294	649
school4	296	650
school4	297	651
school4	298	652
school4	299	653
school4	302	654
school4	304	655
school4	310	656
school4	311	657
school4	312	658
school4	313	659
school4	314	660
school4	316	661
school4	317	662
school4	319	663
school4	320	664
school4	321	665
school4	324	666
school4	325	667
school4	327	668
school4	328	669
school4	329	670
school4	331	671
school4	332	672
school4	333	673
school4	334	674
school4	338	675
school4	339	676
school4	341	677
school4	342	678
school4	343	679
school4	344	680
school4	346	681
school4	348	682
school4	349	683
school4	350	684
school4	353	685
school4	354	686
school4	355	687
school4	356	688
school4	357	689
school4	358	690
school4	359	691
school4	360	692
school4	361	693
school4	362	694
school4	363	695
school4	364	696
school4	365	697
school4	366	698
school4	367	699
school4	368	700
school4	369	701
school4	370	702
school4	371	703
school4	372	704
school4	374	705
school4	376	706
school4	378	707
school4	380	708
school4	381	709
school4	382	710
school4	383	711
school4	384	712
school5	3	713
school5	6	714
school5	8	715
school5	9	716
school5	10	717
school5	11	718
school5	14	719
school5	15	720
school5	16	721
school5	17	722
school5	19	723
school5	22	724
school5	23	725
school5	24	726
school5	25	727
school5	27	728
school5	28	729
school5	29	730
school5	30	731
school5	31	732
school5	32	733
school5	34	734
school5	35	735
school5	36	736
school5	38	737
school5	39	738
school5	40	739
school5	41	740
school5	42	741
school5	44	742
school5	45	743
school5	47	744
school5	49	745
school5	50	746
school5	51	747
school5	52	748
school5	53	749
school5	54	750
school5	55	751
school5	56	752
school5	57	753
school5	58	754
school5	59	755
school5	61	756
school5	63	757
school5	64	758
school5	67	759
school5	70	760
school5	71	761
school5	72	762
school5	73	763
school5	74	764
school5	76	765
school5	77	766
school5	78	767
school5	79	768
school5	80	769
school5	81	770
school5	82	771
school5	83	772
school5	86	773
school5	87	774
school5	88	775
school5	95	776
school5	96	777
school5	97	778
school5	100	779
school5	103	780
school5	108	781
school5	109	782
school5	113	783
school5	115	784
school5	116	785
school5	183	786
school5	188	787
school5	189	788
school5	194	789
school5	196	790
school5	197	791
school5	198	792
school5	199	793
school5	200	794
school6	90	795
school6	91	796
school6	92	797
school6	93	798
school6	95	799
school6	96	800
school6	98	801
school6	101	802
school6	103	803
school6	104	804
school6	105	805
school6	107	806
school6	109	807
school6	110	808
school6	112	809
school6	113	810
school6	114	811
school6	115	812
school6	119	813
school6	120	814
school6	122	815
school6	123	816
school6	125	817
school6	127	818
school6	129	819
school6	130	820
school6	132	821
school6	138	822
school6	139	823
school6	145	824
school6	151	825
school6	152	826
school6	155	827
school6	162	828
school6	169	829
school6	180	830
school6	191	831
school6	196	832
school6	197	833
school6	199	834
